ERROR:root:Invalid employee data: {'id': 2, 'name': 'Ty Hofer', 'datetime': '2021-05-30T05:43:46Z', 'department': 8, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 67, 'name': 'Thia Morican', 'datetime': '2021-03-10T19:27:10Z', 'department': <NA>, 'job': 104}
ERROR:root:Invalid employee data: {'id': 84, 'name': 'Ludvig Norwood', 'datetime': '2021-02-26T18:47:53Z', 'department': 3, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 87, 'name': 'Cirstoforo Martinetto', 'datetime': '2021-10-15T09:19:20Z', 'department': <NA>, 'job': 84}
ERROR:root:Invalid employee data: {'id': 97, 'name': 'Beltran Natte', 'datetime': '2021-11-01T05:12:01Z', 'department': <NA>, 'job': 67}
ERROR:root:Invalid employee data: {'id': 133, 'name': 'Jennine Wapol', 'datetime': '2022-01-24T14:45:57Z', 'department': <NA>, 'job': 49}
ERROR:root:Invalid employee data: {'id': 157, 'name': 'Kellia Barribal', 'datetime': <NA>, 'department': 4, 'job': 61}
ERROR:root:Invalid employee data: {'id': 162, 'name': <NA>, 'datetime': '2021-04-22T14:31:39Z', 'department': 4, 'job': 91}
ERROR:root:Invalid employee data: {'id': 198, 'name': 'Carline Fryman', 'datetime': '2021-05-29T00:23:02Z', 'department': 5, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 207, 'name': 'Ahmad Fader', 'datetime': '2021-05-03T04:57:25Z', 'department': <NA>, 'job': 66}
ERROR:root:Invalid employee data: {'id': 216, 'name': 'Theobald Tzarkov', 'datetime': '2022-01-26T14:56:48Z', 'department': <NA>, 'job': 87}
ERROR:root:Invalid employee data: {'id': 340, 'name': <NA>, 'datetime': '2022-01-13T21:09:49Z', 'department': 4, 'job': 45}
ERROR:root:Invalid employee data: {'id': 350, 'name': <NA>, 'datetime': '2021-07-13T23:34:40Z', 'department': 10, 'job': 86}
ERROR:root:Invalid employee data: {'id': 393, 'name': 'Bogey Hanwell', 'datetime': '2022-01-05T17:29:34Z', 'department': 6, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 533, 'name': 'Tiertza Vanyashin', 'datetime': '2022-02-04T20:16:06Z', 'department': 3, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 571, 'name': <NA>, 'datetime': '2021-11-28T02:28:40Z', 'department': 7, 'job': 69}
ERROR:root:Invalid employee data: {'id': 623, 'name': <NA>, 'datetime': '2022-01-04T17:42:48Z', 'department': 7, 'job': 48}
ERROR:root:Invalid employee data: {'id': 663, 'name': 'Catha Gowrie', 'datetime': <NA>, 'department': 4, 'job': 85}
ERROR:root:Invalid employee data: {'id': 685, 'name': 'Bruno Pales', 'datetime': '2022-01-16T19:23:39Z', 'department': <NA>, 'job': 92}
ERROR:root:Invalid employee data: {'id': 758, 'name': 'Dyanne Rainy', 'datetime': '2021-06-11T00:56:42Z', 'department': 8, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 766, 'name': <NA>, 'datetime': '2021-05-31T05:31:53Z', 'department': 2, 'job': 67}
ERROR:root:Invalid employee data: {'id': 773, 'name': <NA>, 'datetime': '2021-11-16T02:34:50Z', 'department': 5, 'job': 35}
ERROR:root:Invalid employee data: {'id': 789, 'name': 'Jennine Fakeley', 'datetime': <NA>, 'department': 2, 'job': 94}
ERROR:root:Invalid employee data: {'id': 792, 'name': 'Hetty Cawthery', 'datetime': '2022-01-21T11:08:04Z', 'department': 10, 'job': <NA>}
ERROR:root:Invalid employee data: {'id': 824, 'name': 'Kaitlynn Rannald', 'datetime': '2021-04-18T15:11:19Z', 'department': <NA>, 'job': 64}
ERROR:root:Invalid employee data: {'id': 831, 'name': <NA>, 'datetime': '2021-10-22T16:30:46Z', 'department': 6, 'job': 11}
ERROR:root:Invalid employee data: {'id': 832, 'name': 'Letta Paull', 'datetime': '2021-10-29T02:35:02Z', 'department': <NA>, 'job': 122}
ERROR:root:Invalid employee data: {'id': 932, 'name': 'Celeste Stops', 'datetime': '2021-02-07T22:14:01Z', 'department': 8, 'job': <NA>}
